"Name","Year","College_Completion_Rate"
"New Hampshire","1990_Total",0.243651018218391
"New Jersey","1990_Total",0.248540280703561
"New Mexico","1990_Total",0.204138349646105
"New York","1990_Total",0.231316414026097
"North Carolina","1990_Total",0.173751038557948
"North Dakota","1990_Total",0.180655655024587
"Ohio","1990_Total",0.169729394388025
"Oklahoma","1990_Total",0.177891515788123
"Oregon","1990_Total",0.205981128282299
"Pennsylvania","1990_Total",0.179443439877291
"Rhode Island","1990_Total",0.212700089232058
"South Carolina","1990_Total",0.166467366983609
"South Dakota","1990_Total",0.171639953542393
"Tennessee","1990_Total",0.159598746888406
"Texas","1990_Total",0.203179638828177
"Utah","1990_Total",0.222610414779104
"Vermont","1990_Total",0.24312166720318
"Virginia","1990_Total",0.244885128390362
"Washington","1990_Total",0.229328074872297
"West Virginia","1990_Total",0.123333498326458
"Wisconsin","1990_Total",0.177417551271303
"Wyoming","1990_Total",0.187907937890837
"Puerto Rico","1990_Total",NA
"United States","2000_Total",0.244016272747538
"Alabama","2000_Total",0.190347025005195
"Alaska","2000_Total",0.247149300761943
"Arizona","2000_Total",0.235309798217791
"Arkansas","2000_Total",0.166605822550832
"California","2000_Total",0.266209334754377
"Colorado","2000_Total",0.326926650704883
"Connecticut","2000_Total",0.314074168295495
"Delaware","2000_Total",0.250490617069977
"District of Columbia","2000_Total",0.390697855851873
"Florida","2000_Total",0.223347599854689
"Georgia","2000_Total",0.242997783440498
"Hawaii","2000_Total",0.261740834939818
"Idaho","2000_Total",0.216652592681951
"Illinois","2000_Total",0.260613837716655
"Indiana","2000_Total",0.19408143985608
"Iowa","2000_Total",0.212088892827303
"Kansas","2000_Total",0.258039145148121
"Kentucky","2000_Total",0.171353353257278
"Louisiana","2000_Total",0.18727580357619
"Maine","2000_Total",0.228717784831008
"Maryland","2000_Total",0.314498676191035
"Massachusetts","2000_Total",0.331898836372571
"Michigan","2000_Total",0.217623416424808
"Minnesota","2000_Total",0.274332286776568
"Mississippi","2000_Total",0.169040185671035
"Missouri","2000_Total",0.215817410408962
"Montana","2000_Total",0.243702492750856
"Nebraska","2000_Total",0.237426660694363
"Nevada","2000_Total",0.181559576728623
"New Hampshire","2000_Total",0.286538501214218
"New Jersey","2000_Total",0.297794425005201
"New Mexico","2000_Total",0.234533631887882
"New York","2000_Total",0.273725504953703
"North Carolina","2000_Total",0.224628875217348
"North Dakota","2000_Total",0.219888150568425
"Ohio","2000_Total",0.210953433336841
"Oklahoma","2000_Total",0.20278525562904
"Oregon","2000_Total",0.250806975394914
"Pennsylvania","2000_Total",0.22351409653963
"Rhode Island","2000_Total",0.256009087597704
"South Carolina","2000_Total",0.204180646453596
"South Dakota","2000_Total",0.215052312699875
"Tennessee","2000_Total",0.195648087226243
"Texas","2000_Total",0.23237572232056
"Utah","2000_Total",0.261261449279234
"Vermont","2000_Total",0.294453803964643
"Virginia","2000_Total",0.294646136544711
"Washington","2000_Total",0.27731497290534
"West Virginia","2000_Total",0.148316162457107
"Wisconsin","2000_Total",0.224194577600249
"Wyoming","2000_Total",0.219100749850315
"Puerto Rico","2000_Total",0.182776842110783
"United States","2013-2017_Total",0.309275879920717
"Alabama","2013-2017_Total",0.245244743314563
"Alaska","2013-2017_Total",0.289879732964273
"Arizona","2013-2017_Total",0.284456868921156
"Arkansas","2013-2017_Total",0.220281301459887
"California","2013-2017_Total",0.325759712083064
"Colorado","2013-2017_Total",0.394297960706855
"Connecticut","2013-2017_Total",0.384308411452338
"Delaware","2013-2017_Total",0.309680142431777
"District of Columbia","2013-2017_Total",0.565924372649594
"Florida","2013-2017_Total",0.284512310515942
"Georgia","2013-2017_Total",0.299310289810342
"Hawaii","2013-2017_Total",0.320373455786736
"Idaho","2013-2017_Total",0.267659363961577
"Illinois","2013-2017_Total",0.334474679956183
"Indiana","2013-2017_Total",0.253191533673224
"Iowa","2013-2017_Total",0.276812768809535
"Kansas","2013-2017_Total",0.323492201632338
"Kentucky","2013-2017_Total",0.231922922752302
"Louisiana","2013-2017_Total",0.233970199241996
"Maine","2013-2017_Total",0.302810570542074
"Maryland","2013-2017_Total",0.389946396309835
"Massachusetts","2013-2017_Total",0.420874503031529
"Michigan","2013-2017_Total",0.280810842664225
"Minnesota","2013-2017_Total",0.347631066307432
"Mississippi","2013-2017_Total",0.213341744623616
"Missouri","2013-2017_Total",0.28186587561756
"Montana","2013-2017_Total",0.307291037747241
"Nebraska","2013-2017_Total",0.305915992485261
"Nevada","2013-2017_Total",0.236847333593154
"New Hampshire","2013-2017_Total",0.360370889575091
"New Jersey","2013-2017_Total",0.38091347419788
"New Mexico","2013-2017_Total",0.268736202890788
"New York","2013-2017_Total",0.352893668303246
"North Carolina","2013-2017_Total",0.298599891981896
"North Dakota","2013-2017_Total",0.288924591649674
"Ohio","2013-2017_Total",0.272386681287754
"Oklahoma","2013-2017_Total",0.248430382284937
"Oregon","2013-2017_Total",0.322709852524328
"Pennsylvania","2013-2017_Total",0.300836500035505
"Rhode Island","2013-2017_Total",0.329643296432964
"South Carolina","2013-2017_Total",0.270050736693909
"South Dakota","2013-2017_Total",0.278474148464605
"Tennessee","2013-2017_Total",0.260530540700466
"Texas","2013-2017_Total",0.287055762516693
"Utah","2013-2017_Total",0.325371036492665
"Vermont","2013-2017_Total",0.367988125142727
"Virginia","2013-2017_Total",0.375565086744479
"Washington","2013-2017_Total",0.344634200391948
"West Virginia","2013-2017_Total",0.198985827088157
"Wisconsin","2013-2017_Total",0.290310751580934
"Wyoming","2013-2017_Total",0.267497304544063
"Puerto Rico","2013-2017_Total",0.249193258632812
"United States","1970_Urban",0.115419503244843
"Alabama","1970_Urban",0.0888388429269886
