person,county_num,case_year,dob_year,race,sex,court_action,amountpaid,amountdue,probation,imposed,total,suspended,atty
1,64,2005,1974,B,M,guilty plea,0,2697,0,120,120,96,A-APPOINTED
2,2,2011,1960,W,M,guilty plea,650,65443,0,46,46,46,R-RETAINED
3,34,2005,1979,B,M,guilty plea,759,4071,0,0,60,60,A-APPOINTED
4,47,2011,1979,B,M,guilty plea,50,3109,0,0,24,24,A-APPOINTED
5,42,2006,1977,W,M,guilty plea,0,1150,0,180,180,0,R-RETAINED
6,11,2005,1975,B,M,guilty plea,5,4488,0,180,180,144,A-APPOINTED
7,63,2007,1986,W,F,guilty plea,0,589.7,0,36,36,0,P-PUBLIC
8,63,2006,1977,B,F,guilty plea,432.9,432.9,0,0,13,13,A-APPOINTED
9,47,2008,1984,B,M,guilty plea,3797,3797,0,0,36,36,A-APPOINTED
10,1,2008,1982,B,F,guilty plea,1616,1616,0,0,12,12,A-APPOINTED
11,47,2010,1972,B,M,guilty plea,0,3720,0,12,180,180,A-APPOINTED
12,3,2009,1973,B,M,guilty plea,0,10972,0,360,360,0,A-APPOINTED
13,2,2011,1990,B,M,guilty plea,0,462,0,0,0,0,A-APPOINTED
14,5,2010,1977,W,M,guilty plea,2064,2064,0,3,108,108,C-CONTRACT
15,34,2008,1964,W,M,guilty plea,0,386.1,0,240,240,0,A-APPOINTED
16,3,2010,1963,W,F,guilty plea,40,632.8,36,0,180,180,R-RETAINED
17,50,2009,1986,W,M,guilty plea,1970,5495,0,0,24,24,A-APPOINTED
18,52,2005,1976,B,M,guilty plea,10,1415,0,240,240,0,R-RETAINED
19,31,2008,1985,B,M,guilty plea,970,7106,0,0,120,120,A-APPOINTED
20,1,2009,1979,B,M,guilty plea,500.65,887.37,0,180,180,156,A-APPOINTED
21,1,2006,1985,B,M,guilty plea,120,681.2,0,36,120,84,A-APPOINTED
22,1,2008,1977,B,M,guilty plea,483.6,483.6,0,24,180,156,R-RETAINED
23,63,2008,1991,W,M,guilty plea,0,1617,0,48,180,132,P-PUBLIC
24,3,2008,1952,B,M,guilty plea,0,406.9,0,240,240,0,A-APPOINTED
25,43,2007,1980,B,M,guilty plea,300,1587,0,36,36,0,A-APPOINTED
26,68,2006,1987,B,M,guilty plea,0,460.2,0,12,120,108,A-APPOINTED
27,1,2010,1964,W,F,guilty plea,40,556.1,0,0,180,180,A-APPOINTED
28,2,2008,1980,W,M,guilty plea,450.3,450.3,0,12,48,36,R-RETAINED
29,11,2010,1990,B,M,guilty plea,0,400,0,240,240,0,R-RETAINED
30,3,2008,1984,B,M,guilty plea,0,3615,0,60,60,0,NA
31,68,2009,1989,B,M,guilty plea,1261,1316,0,12,60,60,A-APPOINTED; R-RETAINED
32,75,2009,1986,W,M,guilty plea,0,299,0,180,180,0,A-APPOINTED
33,2,2008,1989,B,M,guilty plea,0,494.5,0,1,48,48,A-APPOINTED
34,1,2009,1968,W,M,guilty plea,175,6305,0,0,120,120,R-RETAINED
35,11,2010,1988,W,M,guilty plea,0,709,0,61,61,61,A-APPOINTED
36,3,2009,1968,W,F,guilty plea,340,3572,0,120,120,0,A-APPOINTED
37,2,2010,1981,W,F,guilty plea,0,334,0,180,180,0,A-APPOINTED
38,1,2008,1988,W,M,guilty plea,0,542.1,0,36,36,0,A-APPOINTED
39,1,2005,1986,B,M,guilty plea,0,161076,0,300,300,0,R-RETAINED
40,20,2007,1989,W,M,guilty plea,0,0,0,24,24,0,NA
41,38,2008,1966,W,F,guilty plea,4393,4393,0,36,36,0,C-CONTRACT
42,52,2006,1969,W,F,guilty plea,2935,2935,0,0,24,24,R-RETAINED
43,68,2009,1971,W,M,guilty plea,1816,1816,0,0,24,24,R-RETAINED
44,29,2007,1965,W,M,guilty plea,547,547,0,0,36,36,R-RETAINED
45,71,2009,1988,W,M,guilty plea,2455,2455,0,0,24,24,A-APPOINTED
46,2,2010,1984,W,M,guilty plea,0,480,0,1,60,60,A-APPOINTED
47,37,2010,1991,W,M,guilty plea,0,2694,0,0,0,0,A-APPOINTED
48,37,2005,1982,B,M,guilty plea,0,3850,0,0,72,72,A-APPOINTED
49,27,2011,1984,W,M,guilty plea,0,9033,36,120,120,110,A-APPOINTED
50,2,2005,1982,B,M,guilty plea,0,473,0,0,0,0,A-APPOINTED
51,2,2011,1988,B,M,guilty plea,0,593,0,36,180,144,A-APPOINTED
52,70,2006,1961,B,M,guilty plea,2191,5243,0,36,36,24,A-APPOINTED
53,37,2008,1970,W,F,guilty plea,1193,8059,0,1,36,36,A-APPOINTED
54,3,2009,1963,B,M,guilty plea,75,2222,24,0,36,36,A-APPOINTED
55,3,2008,1983,B,F,guilty plea,0,2042,0,24,120,96,A-APPOINTED
56,47,2009,1991,B,M,guilty plea,0,1578,0,120,120,0,A-APPOINTED
57,30,2009,1965,W,M,guilty plea,1083,1083,0,36,240,204,A-APPOINTED
58,5,2008,1966,B,M,guilty plea,0,5351,0,144,144,0,NA
59,2,2008,1971,B,M,convicted,0,353,0,0,0,0,A-APPOINTED
60,3,2009,1970,B,M,guilty plea,2015,2015,36,0,60,60,R-RETAINED
61,58,2009,1970,W,M,guilty plea,50,2058,0,18,97,91,NA
62,25,2009,1983,W,M,guilty plea,0,2215,0,48,48,48,A-APPOINTED
63,16,2010,1981,B,M,guilty plea,260,875,0,9,168,168,C-CONTRACT; A-APPOINTED
64,68,2009,1961,B,M,guilty plea,0,0,0,36,240,204,R-RETAINED
65,1,2005,1979,W,M,guilty plea,0,714,0,36,36,0,A-APPOINTED
66,31,2009,1968,W,M,guilty plea,0,2579,0,36,120,84,NA
67,64,2010,1976,W,M,guilty plea,25,6772,240,0,228,228,A-APPOINTED
68,61,2008,1980,B,M,guilty plea,2290,2860,0,0,48,48,A-APPOINTED
69,47,2009,1967,B,M,guilty plea,0,4163,0,0,180,180,A-APPOINTED
70,2,2011,1976,B,F,guilty plea,3199,19934,0,0,36,36,R-RETAINED
71,2,2005,1973,B,M,guilty plea,1850,1850,0,0,48,48,R-RETAINED
72,64,2008,1974,W,M,guilty plea,0,884,0,180,180,180,A-APPOINTED
73,61,2007,1980,B,M,guilty plea,0,3913,0,84,84,0,A-APPOINTED
74,11,2007,1979,W,M,guilty plea,0,897.8,0,12,12,12,A-APPOINTED
75,38,2006,1973,B,M,guilty plea,0,4965,0,240,240,0,NA
76,28,2005,1976,W,M,guilty plea,150,636.85,0,48,48,0,A-APPOINTED
77,38,2007,1956,B,F,guilty plea,725,7178,0,48,48,0,C-CONTRACT
78,30,2011,1988,W,F,guilty plea,603,603,0,0,30,30,A-APPOINTED
79,15,2006,1979,B,M,guilty plea,0,1289,0,12,48,36,C-CONTRACT
80,3,2006,1989,B,M,guilty plea,449,1004,0,120,120,84,A-APPOINTED
81,26,2008,1986,B,M,convicted,975,3265,0,32,32,0,NA
82,11,2006,1988,W,M,guilty plea,0,3318,0,24,24,0,A-APPOINTED
83,3,2007,1981,B,M,guilty plea,0,1931,0,36,36,0,R-RETAINED
84,5,2008,1972,W,M,guilty plea,2257,5123,0,180,180,180,C-CONTRACT; R-RETAINED
85,64,2010,1983,W,M,guilty plea,0,4302,84,120,120,84,R-RETAINED
86,3,2007,1982,B,M,guilty plea,0,9138,0,240,240,180,R-RETAINED
87,2,2010,1984,W,M,guilty plea,0,1376,0,36,180,144,A-APPOINTED
88,52,2005,1984,W,M,guilty plea,62,3504,0,18,18,18,A-APPOINTED
89,59,2008,1963,W,M,guilty plea,2113,2455,36,0,0,0,A-APPOINTED
90,41,2005,1957,B,M,guilty plea,2711,6514,0,18,96,96,A-APPOINTED
91,38,2007,1964,W,M,guilty plea,0,0,0,120,120,0,C-CONTRACT
92,39,2011,1990,W,M,guilty plea,0,10923,0,180,180,144,A-APPOINTED
93,44,2009,1980,W,M,guilty plea,2125,2125,0,0,120,120,A-APPOINTED
94,41,2005,1978,W,M,guilty plea,1970,1970,0,48,48,48,A-APPOINTED
95,63,2010,1983,B,M,guilty plea,0,445.9,0,60,60,0,P-PUBLIC
96,64,2011,1986,W,F,guilty plea,300,4211,0,12,36,24,A-APPOINTED
97,3,2007,1985,B,M,guilty plea,917,917,0,0,24,24,NA
98,27,2005,1979,B,M,guilty plea,35,1028,0,36,180,144,A-APPOINTED
99,3,2009,1964,B,M,guilty plea,0,604.5,0,180,180,0,A-APPOINTED
100,69,2005,1984,B,M,guilty plea,628,2879,0,96,96,36,R-RETAINED
101,3,2007,1978,W,F,guilty plea,2275,2275,0,0,36,36,A-APPOINTED
102,9,2009,1977,B,M,guilty plea,0,907.4,60,24,180,156,A-APPOINTED
103,1,2005,1966,W,M,guilty plea,3656,132356,0,0,10,10,NA
104,1,2006,1963,B,M,guilty plea,0,106,0,36,180,144,A-APPOINTED
105,1,2005,1969,B,M,guilty plea,1413,1852,0,18,120,96,R-RETAINED
106,11,2008,1986,W,F,guilty plea,1622,2902,0,0,120,120,A-APPOINTED
107,2,2009,1989,W,M,guilty plea,0,13309,0,60,240,180,A-APPOINTED; R-RETAINED
108,57,2007,1982,B,M,guilty plea,200,2970,36,12,48,36,A-APPOINTED
109,1,2010,1988,B,F,convicted,1048,3578,36,3,48,45,A-APPOINTED
110,2,2010,1968,W,M,guilty plea,2087,2087,0,2,48,48,R-RETAINED
111,41,2006,1958,W,M,convicted,0,2503,0,1188,1188,0,A-APPOINTED
112,49,2010,1977,W,M,guilty plea,0,2446,0,0,120,120,NA
113,30,2010,1958,B,M,guilty plea,0,1518,0,120,120,0,A-APPOINTED
114,11,2008,1972,B,M,guilty plea,1803,1803,0,12,180,168,R-RETAINED
115,29,2006,1982,W,M,guilty plea,0,797,0,120,120,0,A-APPOINTED
116,8,2005,1979,W,M,probation terminated,3453,3453,69,3,72,69,A-APPOINTED
117,61,2007,1934,B,M,guilty plea,0,803,0,33,33,0,A-APPOINTED
118,59,2005,1982,B,M,guilty plea,198,2261,144,36,180,144,A-APPOINTED
119,47,2005,1975,B,M,guilty plea,0,7548,0,0,240,240,A-APPOINTED
120,50,2008,1977,W,F,guilty plea,220,5176,0,72,80,58,A-APPOINTED
121,2,2005,1945,B,M,guilty plea,1359,4403,0,3,108,108,A-APPOINTED
122,11,2011,1986,W,F,guilty plea,0,711,0,0,14,14,A-APPOINTED
123,43,2010,1975,W,F,guilty plea,415,415,0,12,48,36,R-RETAINED
124,2,2010,1985,B,M,guilty plea,498,498,0,0,36,36,R-RETAINED
125,1,2008,1984,B,M,guilty plea,1994,7161,0,0,60,60,R-RETAINED
126,1,2011,1975,B,M,guilty plea,0,0,0,60,240,180,A-APPOINTED
127,68,2005,1980,W,M,guilty plea,600,600,0,24,120,120,NA
128,61,2008,1979,W,M,guilty plea,1507,1507,0,120,120,0,A-APPOINTED
129,75,2007,1979,B,M,guilty plea,20,2038,0,0,84,84,A-APPOINTED
130,1,2005,1974,W,F,convicted,5789,5789,0,6,48,48,A-APPOINTED
131,47,2007,1985,B,M,guilty plea,0,3325,0,60,120,60,A-APPOINTED
132,1,2007,1967,B,M,guilty plea,80,3062,0,0,180,180,A-APPOINTED
133,2,2009,1964,W,M,guilty plea,0,971,0,180,180,0,A-APPOINTED
134,1,2009,1981,B,M,guilty plea,389.69,482.39,0,36,240,204,A-APPOINTED
135,5,2006,1958,W,M,guilty plea,0,1677,0,120,120,120,C-CONTRACT
136,5,2008,1955,W,M,guilty plea,0,4459,48,180,180,180,C-CONTRACT
137,24,2009,1977,B,M,guilty plea,0,476,0,12,31,19,A-APPOINTED
138,13,2006,1978,W,F,guilty plea,0,308.5,0,68,68,0,A-APPOINTED
139,15,2005,1958,B,M,guilty plea,681,20983,0,12,180,168,NA
140,2,2010,1977,B,M,guilty plea,137.69,5091,0,36,180,144,A-APPOINTED
141,41,2007,1967,W,M,guilty plea,0,1203,0,120,120,0,A-APPOINTED
142,12,2011,1983,W,M,guilty plea,0,822.5,0,180,180,144,A-APPOINTED
143,65,2008,1985,W,M,guilty plea,0,3827,0,36,36,0,A-APPOINTED; R-RETAINED
144,55,2010,1971,B,M,guilty plea,0,2839,0,0,36,36,A-APPOINTED
145,38,2009,1983,B,M,guilty plea,0,6963,0,120,120,0,C-CONTRACT
146,44,2010,1986,B,M,guilty plea,0,736,0,180,180,168,A-APPOINTED
147,8,2006,1979,W,M,guilty plea,366,703.75,0,0,48,48,A-APPOINTED
148,57,2009,1973,B,M,guilty plea,431,18229,0,18,18,0,A-APPOINTED
149,30,2006,1982,B,F,guilty plea,430.5,5391,0,24,120,96,A-APPOINTED
150,52,2009,1966,W,M,guilty plea,1735,2946,0,180,180,180,R-RETAINED; A-APPOINTED
151,71,2010,1988,W,M,guilty plea,910,1968,0,24,24,24,A-APPOINTED
152,38,2011,1983,B,M,guilty plea,0,3930,0,204,204,0,C-CONTRACT
153,1,2005,1977,B,M,guilty plea,755.6,755.6,0,0,84,84,NA
154,29,2011,1982,W,F,guilty plea,1286,1586,0,0,24,24,A-APPOINTED
155,70,2009,1983,B,M,guilty plea,50,1707,0,4,60,36,A-APPOINTED
156,50,2010,1960,W,M,guilty plea,4000,4000,0,0,0,0,R-RETAINED
157,47,2005,1966,B,M,guilty plea,20,12255,0,300,300,0,A-APPOINTED
158,2,2009,1981,W,F,guilty plea,0,492.7,0,120,120,0,A-APPOINTED
159,71,2005,1975,W,M,guilty plea,0,1793,0,24,24,0,A-APPOINTED
160,47,2005,1967,B,F,guilty plea,0,724,0,24,24,24,A-APPOINTED
161,26,2006,1973,B,M,guilty plea,1694,1694,0,18,18,36,A-APPOINTED
162,63,2006,1977,W,M,guilty plea,0,3282,0,56,56,0,A-APPOINTED
163,11,2008,1976,W,M,guilty plea,10,766.6,0,29,36,155,R-RETAINED
164,1,2009,1992,B,M,guilty plea,469,469,0,36,240,204,A-APPOINTED
165,22,2005,1951,B,M,guilty plea,508,10812,0,60,60,60,A-APPOINTED
166,1,2011,1987,B,M,guilty plea,0,1310,0,36,36,24,A-APPOINTED
167,5,2009,1971,B,M,guilty plea,0,797.5,0,120,120,0,NA
168,11,2007,1981,W,M,guilty plea,0,6592,0,36,36,36,A-APPOINTED
169,44,2009,1980,W,F,guilty plea,0,1944,0,12,180,168,A-APPOINTED
170,61,2009,1959,W,F,guilty plea,141,859,0,0,60,60,A-APPOINTED
171,43,2007,1982,B,M,guilty plea,2918,2918,0,0,24,24,A-APPOINTED
172,5,2008,1958,W,F,guilty plea,2007,2007,0,0,60,60,R-RETAINED
173,38,2006,1963,B,M,guilty plea,700.82,700.82,0,48,48,0,NA
174,26,2006,1982,W,F,guilty plea,780,2877,0,0,24,24,A-APPOINTED
175,2,2008,1967,B,M,guilty plea,0,311,0,180,180,0,A-APPOINTED
176,25,2010,1987,B,M,guilty plea,1597,4060,0,60,60,60,A-APPOINTED
177,16,2008,1971,B,M,guilty plea,0,2674,0,9,24,24,C-CONTRACT
178,47,2006,1986,B,M,guilty plea,30,872,0,240,240,228,A-APPOINTED
179,56,2008,1983,W,M,guilty plea,0,2175,24,24,24,24,A-APPOINTED
180,12,2010,1968,W,F,guilty plea,75,3101,0,3,36,36,A-APPOINTED
181,71,2005,1976,B,M,guilty plea,0,3233,0,180,180,156,R-RETAINED
182,1,2009,1980,W,M,guilty plea,0,3839,0,18,96,96,A-APPOINTED
183,67,2009,1987,W,M,guilty plea,408.44,1128,0,0,120,120,A-APPOINTED
184,1,2005,1978,B,M,guilty plea,0,32,0,36,36,0,A-APPOINTED
185,37,2008,1989,B,M,guilty plea,0,5064,0,36,36,36,A-APPOINTED
186,2,2011,1973,B,M,guilty plea,0,456,0,360,360,0,A-APPOINTED
187,49,2007,1969,W,M,guilty plea,438.25,438.25,0,12,168,156,A-APPOINTED
188,52,2005,1980,W,M,guilty plea,0,2313,0,252,252,0,A-APPOINTED
189,38,2010,1980,B,M,guilty plea,1666,5926,0,180,180,0,C-CONTRACT
190,63,2011,1964,W,M,guilty plea,0,4098,0,123,123,0,A-APPOINTED
191,11,2009,1985,B,M,guilty plea,10,3129,0,24,24,24,R-RETAINED
192,31,2007,1977,W,F,guilty plea,0,1917,0,84,84,0,A-APPOINTED
193,5,2011,1979,W,M,guilty plea,0,2189,0,120,120,0,C-CONTRACT
194,54,2010,1983,W,M,guilty plea,100,1504,0,0,36,36,A-APPOINTED
195,63,2009,1979,B,M,guilty plea,445.9,445.9,0,30,120,90,R-RETAINED
196,31,2006,1970,W,M,guilty plea,0,3892,0,84,84,84,NA
197,47,2007,1956,B,M,guilty plea,1165,5990,0,3,24,24,A-APPOINTED
198,2,2009,1970,W,M,guilty plea,0,607.1,0,48,240,192,A-APPOINTED
199,20,2009,1988,W,M,guilty plea,0,3789,0,0,36,36,A-APPOINTED
200,26,2007,1983,W,M,guilty plea,0,4624,36,0,36,36,A-APPOINTED
201,38,2009,1966,W,M,convicted,438.5,5779,0,204,204,0,R-RETAINED
202,75,2005,1984,W,M,guilty plea,474,1111,0,36,36,0,A-APPOINTED
203,2,2005,1968,W,M,guilty plea,1677,1677,0,24,180,156,R-RETAINED
204,48,2011,1953,W,M,guilty plea,320,320,0,12,84,72,A-APPOINTED
205,11,2008,1974,W,M,guilty plea,2485,2908,0,36,240,204,R-RETAINED
206,4,2008,1984,W,M,guilty plea,0,5584,24,10,120,110,A-APPOINTED
207,2,2007,1960,W,M,guilty plea,624.5,624.5,0,6,168,168,R-RETAINED
208,12,2006,1982,B,M,guilty plea,60,2635,0,0,13,13,A-APPOINTED
209,1,2005,1982,B,M,guilty plea,0,3398,0,180,180,156,A-APPOINTED
210,16,2011,1989,B,F,guilty plea,1005,1005,0,0,60,60,R-RETAINED
211,11,2006,1961,W,M,guilty plea,0,422.5,0,180,180,0,A-APPOINTED
212,27,2011,1965,B,M,guilty plea,0,4099,0,18,96,96,A-APPOINTED
213,1,2007,1983,B,M,guilty plea,307,447.1,0,24,24,24,A-APPOINTED
214,75,2007,1978,W,M,guilty plea,4389,4389,0,0,120,120,R-RETAINED
215,43,2007,1968,B,M,guilty plea,0,4276,0,48,48,0,A-APPOINTED
216,31,2006,1973,B,M,guilty plea,0,14277,0,360,360,0,NA
217,31,2008,1958,B,M,guilty plea,0,2507,0,36,240,204,A-APPOINTED
218,34,2011,1982,W,M,guilty plea,0,3437,0,0,144,144,A-APPOINTED
219,12,2009,1956,B,M,guilty plea,0,2452,0,0,24,24,A-APPOINTED
220,63,2008,1965,W,F,guilty plea,1503,1503,0,0,13,13,R-RETAINED
221,63,2008,1986,W,M,guilty plea,0,432.9,0,12,60,48,P-PUBLIC
222,64,2010,1977,W,F,guilty plea,410,2689,0,120,120,0,R-RETAINED
223,44,2010,1971,W,M,guilty plea,0,8395,0,120,120,0,A-APPOINTED
224,26,2009,1983,B,M,guilty plea,149,2861,0,2,24,24,A-APPOINTED
225,3,2007,1988,B,M,guilty plea,0,3830,0,240,240,0,R-RETAINED
226,68,2011,1985,B,F,guilty plea,0,617.5,0,15,156,156,A-APPOINTED
227,63,2008,1977,B,M,guilty plea,0,432.9,0,30,30,0,P-PUBLIC
228,11,2006,1962,W,M,guilty plea,0,3433,0,97,97,97,R-RETAINED
229,45,2011,1975,W,M,guilty plea,0,870,0,36,120,84,A-APPOINTED
230,1,2005,1982,B,M,guilty plea,0,712.4,0,1,24,24,A-APPOINTED
231,3,2005,1961,B,M,guilty plea,0,3685,0,0,0,0,A-APPOINTED
232,3,2005,1980,B,M,guilty plea,0,1271,24,6,60,54,A-APPOINTED
233,27,2010,1981,B,M,guilty plea,270,1862,0,46,46,0,A-APPOINTED
234,31,2005,1970,W,F,guilty plea,4060,4060,0,0,84,84,A-APPOINTED
235,43,2010,1970,W,M,guilty plea,22.3,13744,0,18,96,78,A-APPOINTED
236,43,2006,1961,B,M,guilty plea,1154,1154,0,12,108,96,NA
237,68,2011,1977,B,M,guilty plea,353,353,0,0,60,60,A-APPOINTED
238,3,2010,1960,B,M,guilty plea,0,3279,36,0,180,180,A-APPOINTED
239,23,2011,1977,W,M,guilty plea,649,649,0,15,96,96,A-APPOINTED
240,65,2006,1960,W,M,guilty plea,546.42,2590,0,36,36,24,A-APPOINTED
241,68,2007,1970,B,M,guilty plea,322,364,0,0,60,60,R-RETAINED
242,59,2010,1963,W,F,guilty plea,20,580,0,48,240,192,A-APPOINTED
243,5,2010,1983,B,M,guilty plea,106.6,1514,36,10,60,50,C-CONTRACT
244,69,2010,1980,B,M,guilty plea,0,6729,0,60,240,180,A-APPOINTED
245,47,2010,1977,W,M,guilty plea,1338,28972,0,180,180,144,A-APPOINTED
246,11,2011,1988,W,M,guilty plea,0,2232,0,39,39,39,A-APPOINTED
247,16,2010,1969,W,F,guilty plea,280.33,2028,0,30,108,108,A-APPOINTED
248,57,2009,1977,B,F,guilty plea,3956,3956,12,0,24,24,A-APPOINTED
249,43,2010,1986,B,M,guilty plea,0,955.9,0,24,72,48,R-RETAINED
250,1,2011,1977,B,M,guilty plea,0,968.5,0,0,120,120,A-APPOINTED
251,16,2006,1980,B,M,guilty plea,50,3541,0,36,180,144,R-RETAINED
252,39,2006,1983,W,M,guilty plea,991.5,991.5,0,0,36,36,A-APPOINTED
253,63,2006,1985,B,M,guilty plea,333,375,0,60,60,60,A-APPOINTED
254,3,2008,1976,B,F,guilty plea,400,531.7,0,0,12,12,A-APPOINTED
255,2,2006,1981,W,F,guilty plea,0,393.9,0,24,24,0,A-APPOINTED
256,25,2007,1979,W,M,guilty plea,2279,2517,0,48,48,48,A-APPOINTED
257,38,2005,1940,W,M,guilty plea,700,4215,0,36,36,0,C-CONTRACT
258,38,2010,1981,B,F,guilty plea,300,4596,0,36,36,0,C-CONTRACT
259,29,2011,1981,W,M,guilty plea,805,6758,0,1152,1152,0,NA
260,31,2005,1965,W,M,guilty plea,1658,34812,0,0,180,180,A-APPOINTED
261,34,2006,1965,W,M,guilty plea,0,581.1,0,36,36,36,A-APPOINTED
262,2,2011,1989,W,M,guilty plea,0,686.4,0,12,24,24,R-RETAINED
263,37,2006,1972,W,M,guilty plea,1283,10907,0,30,30,30,A-APPOINTED
264,34,2006,1945,W,M,guilty plea,0,0,0,120,120,84,R-RETAINED
265,11,2006,1975,W,M,guilty plea,0,2059,0,24,24,0,R-RETAINED
266,11,2008,1973,B,F,guilty plea,589.06,589.06,0,0,18,18,R-RETAINED
267,39,2010,1975,W,M,guilty plea,0,2396,0,120,120,0,A-APPOINTED
268,34,2011,1971,W,F,guilty plea,0,156,0,84,84,84,A-APPOINTED
269,15,2009,1960,B,M,guilty plea,456,1959,0,0,36,36,C-CONTRACT
270,38,2006,1984,W,M,guilty plea,2531,2531,0,36,36,0,R-RETAINED
271,38,2009,1980,B,M,guilty plea,0,2790,0,180,180,0,R-RETAINED
272,61,2005,1971,B,M,guilty plea,200,2683,0,0,60,60,A-APPOINTED
273,47,2009,1973,B,F,guilty plea,1268,4503,0,12,180,180,A-APPOINTED
274,38,2007,1955,B,M,guilty plea,0,3311,0,60,60,0,C-CONTRACT
275,46,2007,1981,B,M,guilty plea,0,3602,0,120,120,108,A-APPOINTED
276,2,2010,1985,B,F,guilty plea,0,566.8,0,24,24,0,A-APPOINTED
277,23,2006,1962,B,M,guilty plea,0,5305,0,180,180,0,A-APPOINTED
278,5,2010,1975,B,M,guilty plea,258,1949,0,180,180,180,C-CONTRACT
279,30,2006,1970,W,M,guilty plea,0,1252,0,180,180,0,A-APPOINTED
280,25,2009,1981,W,F,guilty plea,197,2141,0,60,60,60,A-APPOINTED
281,8,2009,1981,B,M,guilty plea,0,28811,0,180,180,0,A-APPOINTED
282,49,2009,1974,W,F,guilty plea,1667,1667,0,0,96,96,R-RETAINED
283,11,2010,1979,B,M,guilty plea,0,4686,0,120,120,120,A-APPOINTED
284,8,2005,1985,W,M,guilty plea,334,334,0,60,60,0,A-APPOINTED
285,1,2007,1986,B,M,guilty plea,4162,6145,0,36,120,84,A-APPOINTED
286,2,2005,1978,B,M,guilty plea,0,1565,0,18,96,96,A-APPOINTED
287,2,2005,1973,B,M,guilty plea,349,349,0,1,108,108,R-RETAINED
288,38,2009,1952,W,M,convicted,2327,2327,0,84,84,0,R-RETAINED
289,63,2009,1987,B,M,guilty plea,900.9,900.9,0,0,15,15,P-PUBLIC
290,3,2005,1967,B,F,guilty plea,1564,1564,0,60,60,0,A-APPOINTED
291,3,2009,1959,B,M,guilty plea,0,713.7,0,0,180,180,A-APPOINTED
292,41,2005,1938,W,F,guilty plea,360,360,0,0,12,12,R-RETAINED
293,48,2006,1984,B,M,guilty plea,147,9488,0,144,144,0,A-APPOINTED
294,47,2007,1989,B,M,guilty plea,0,3624,0,120,120,96,A-APPOINTED
295,5,2006,1965,W,M,guilty plea,4021,4021,0,120,120,120,C-CONTRACT
296,61,2009,1985,B,M,guilty plea,80,5521,0,0,60,60,A-APPOINTED
297,52,2010,1975,W,M,guilty plea,0,492,0,240,240,0,A-APPOINTED
298,47,2009,1983,B,M,convicted,0,933,0,240,240,0,R-RETAINED
299,71,2005,1968,B,M,guilty plea,0,507,36,120,120,120,A-APPOINTED
300,2,2008,1982,W,M,guilty plea,0,555.1,0,6,48,48,A-APPOINTED
301,47,2008,1982,W,M,guilty plea,1697,2556,0,96,96,0,A-APPOINTED
302,11,2007,1982,W,M,guilty plea,300,2116,0,0,84,84,A-APPOINTED
303,44,2011,1944,W,F,guilty plea,355,355,0,0,24,24,R-RETAINED
304,63,2008,1974,W,M,guilty plea,20,1238,0,84,84,0,P-PUBLIC
305,63,2006,1974,B,M,guilty plea,60,456.5,0,95,95,0,P-PUBLIC
306,3,2011,1993,B,M,guilty plea,0,3354,0,300,300,0,A-APPOINTED
307,68,2008,1984,W,M,guilty plea,150,517.8,0,0,120,120,NA
308,7,2005,1965,W,M,guilty plea,0,542.1,0,0,24,24,A-APPOINTED
309,38,2011,1979,W,M,guilty plea,0,3961,0,120,120,0,C-CONTRACT
310,38,2009,1947,W,M,convicted,0,519,0,13,96,96,A-APPOINTED
311,1,2011,1989,B,M,guilty plea,0,629,0,6,108,108,A-APPOINTED
312,50,2007,1984,W,M,guilty plea,130,1249,0,0,36,36,A-APPOINTED
313,64,2007,1968,W,F,guilty plea,2495,2495,60,0,25,25,A-APPOINTED
314,12,2010,1981,B,M,guilty plea,435,2934,72,0,62,62,A-APPOINTED
315,27,2006,1982,B,M,guilty plea,50,2984,0,10,108,108,A-APPOINTED
316,47,2010,1967,W,F,guilty plea,1658,1658,0,24,24,24,R-RETAINED
317,3,2007,1969,B,F,guilty plea,0,1134,12,24,24,24,A-APPOINTED
318,11,2008,1972,B,M,guilty plea,10,1731,0,24,48,24,A-APPOINTED
319,41,2006,1973,W,M,guilty plea,0,360,0,0,0,0,A-APPOINTED
320,63,2005,1975,B,M,guilty plea,1533,1741,0,84,84,60,R-RETAINED
321,23,2008,1986,B,M,guilty plea,2959,4010,0,96,96,0,A-APPOINTED
322,50,2010,1984,W,M,guilty plea,69.48,673.4,0,153,153,0,R-RETAINED
323,13,2005,1956,W,F,guilty plea,462,584.5,0,0,60,60,A-APPOINTED
324,1,2008,1986,B,M,guilty plea,0,500,0,276,276,0,A-APPOINTED
325,1,2006,1964,B,M,guilty plea,0,462.8,0,60,240,180,A-APPOINTED
326,44,2007,1979,B,M,guilty plea,0,0,0,24,180,156,R-RETAINED
327,38,2008,1988,W,M,guilty plea,0,3007,0,12,12,0,C-CONTRACT
328,59,2011,1977,W,M,guilty plea,75,794,0,30,180,150,R-RETAINED
329,1,2006,1980,B,M,guilty plea,0,2762,0,240,240,0,A-APPOINTED
330,1,2005,1986,B,M,guilty plea,138,1461,0,0,120,120,NA
331,7,2011,1981,W,F,guilty plea,0,2465,0,36,240,204,A-APPOINTED
332,39,2010,1990,B,M,guilty plea,0,1967,0,96,96,0,A-APPOINTED
333,43,2009,1989,B,M,guilty plea,1097,1097,0,18,18,16,A-APPOINTED
