person,county_num,case_year,dob_year,race,sex,court_action,amountpaid,amountdue,probation,imposed,total,suspended,atty
1905,50,2008,1965,W,M,guilty plea,0,1411,0,18,108,108,A-APPOINTED
1906,42,2010,1982,W,M,guilty plea,592.45,35464,0,144,144,0,A-APPOINTED
1907,43,2008,1987,B,M,guilty plea,0,24666,0,40,40,0,NA
1908,11,2011,1984,W,M,guilty plea,0,1400,0,12,12,0,A-APPOINTED
1909,52,2007,1988,W,M,guilty plea,1044,2785,0,0,36,36,A-APPOINTED
1910,39,2010,1976,W,M,guilty plea,0,4124,0,18,36,36,A-APPOINTED
1911,33,2008,1986,W,M,guilty plea,1225,1446,0,120,120,0,A-APPOINTED
1912,48,2005,1980,W,M,guilty plea,0,391,0,48,48,0,A-APPOINTED
1913,68,2008,1972,W,M,guilty plea,100,690,0,240,240,204,A-APPOINTED
1914,63,2009,1979,W,M,guilty plea,35,1201,0,240,240,216,P-PUBLIC
1915,47,2007,1984,W,F,guilty plea,477,4193,0,36,36,36,A-APPOINTED
1916,47,2010,1973,B,M,guilty plea,0,5396,0,180,180,0,A-APPOINTED
1917,39,2007,1968,W,M,guilty plea,3753,5538,0,12,132,132,A-APPOINTED
1918,39,2009,1985,W,M,guilty plea,0,4775,0,1,240,228,A-APPOINTED
1919,3,2008,1970,B,F,guilty plea,494,7092,12,0,24,24,R-RETAINED
1920,75,2011,1954,W,F,guilty plea,1735,1735,0,0,60,60,R-RETAINED
1921,1,2006,1987,B,M,guilty plea,616.5,616.5,0,36,240,204,R-RETAINED
1922,1,2011,1961,B,M,guilty plea,0,1675,0,180,180,0,A-APPOINTED
1923,64,2011,1956,W,M,guilty plea,2541,2541,0,0,60,60,P-PUBLIC
1924,62,2011,1961,B,M,guilty plea,946.47,3678,0,60,60,0,A-APPOINTED
1925,1,2007,1968,W,M,guilty plea,2224,2837,0,48,48,0,A-APPOINTED
1926,33,2010,1982,W,M,guilty plea,474,474,0,12,84,72,R-RETAINED
1927,3,2006,1988,B,M,guilty plea,0,1523,0,180,324,144,A-APPOINTED
1928,3,2010,1952,B,F,guilty plea,668,17795,0,18,81,63,A-APPOINTED; R-RETAINED
